City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Harwich,GB,2022-04-26 18:55:17,51.9419,1.2844,50.22,71,61,5.99
230,Marawi,PH,2022-04-26 18:56:17,7.9986,124.2928,69.64,93,100,1.88
231,Lafayette,US,2022-04-26 18:56:18,30.2335,-92.0668,78.91,66,36,4.0
232,San Policarpo,PH,2022-04-26 18:56:18,12.1791,125.5072,81.66,85,100,12.37
233,Krasnyy Kut,RU,2022-04-26 18:56:19,50.95,46.9667,64.45,61,99,9.4
234,Lata,PT,2022-04-26 18:56:19,40.1629,-8.3327,61.81,89,3,3.85
235,Nilokheri,IN,2022-04-26 18:56:19,29.8333,76.9167,84.52,12,0,6.24
236,Sao Filipe,CV,2022-04-26 18:56:20,14.8961,-24.4956,75.81,69,20,14.14
237,Tasiilaq,GL,2022-04-26 18:48:57,65.6145,-37.6368,35.76,89,85,3.0
238,Amberley,US,2022-04-26 18:56:03,39.2048,-84.428,55.29,54,5,8.01
239,Bogande,BF,2022-04-26 18:56:20,12.9714,-0.1436,95.67,11,11,6.91
240,Ranibennur,IN,2022-04-26 18:56:21,14.6167,75.6167,83.41,53,23,7.52
241,Noyabrsk,RU,2022-04-26 18:56:21,63.1994,75.4507,22.87,96,100,11.21
242,Coracora,PE,2022-04-26 18:56:21,-15.0333,-73.7833,59.34,62,89,9.48
243,Te Anau,NZ,2022-04-26 18:56:22,-45.4167,167.7167,44.73,90,42,0.16
244,Pangai,TO,2022-04-26 18:56:23,-19.8,-174.35,71.71,88,75,0.0
245,Noumea,NC,2022-04-26 18:56:23,-22.2763,166.4572,73.0,99,100,9.89
246,Kyritz,DE,2022-04-26 18:56:26,52.9421,12.397,46.96,70,78,6.87
247,Sovetskiy,RU,2022-04-26 18:56:26,61.3614,63.5842,46.71,94,100,10.18
248,Sechura,PE,2022-04-26 18:56:27,-5.5569,-80.8222,80.26,56,79,13.42
249,Namatanai,PG,2022-04-26 18:56:27,-3.6667,152.4333,80.11,81,14,7.78
250,Lipin Bor,RU,2022-04-26 18:56:27,60.2622,37.9763,37.29,92,100,8.37
251,Esperance,AU,2022-04-26 18:56:28,-33.8667,121.9,58.84,65,1,8.34
252,Angoche,MZ,2022-04-26 18:56:28,-16.2325,39.9086,76.91,87,100,7.67
253,Luwuk,ID,2022-04-26 18:56:29,-0.9516,122.7875,78.53,87,100,1.63
254,Butembo,CD,2022-04-26 18:56:29,0.15,29.2833,57.43,98,67,2.35
255,Kosa,RU,2022-04-26 18:53:03,59.9445,54.9977,45.5,99,100,5.06
256,Esna,EG,2022-04-26 18:56:30,25.2934,32.554,95.02,13,7,7.18
257,Magadan,RU,2022-04-26 18:56:30,59.5667,150.8,20.53,71,16,5.79
258,Kerouane,GN,2022-04-26 18:56:30,9.2667,-9.0167,86.94,24,72,3.06
259,Husavik,IS,2022-04-26 18:56:31,66.0449,-17.3389,39.49,94,100,0.72
260,Sinjai,ID,2022-04-26 18:56:31,-5.1241,120.253,74.98,90,99,4.36
261,Souillac,MU,2022-04-26 18:56:31,-20.5167,57.5167,77.38,83,75,9.22
262,Liwale,TZ,2022-04-26 18:56:32,-9.7667,37.9333,69.08,99,100,1.9
263,Coquimbo,CL,2022-04-26 18:56:32,-29.9533,-71.3436,64.13,72,75,11.5
264,Imbituba,BR,2022-04-26 18:56:32,-28.24,-48.6703,77.86,79,100,9.89
265,Santa Cruz,BO,2022-04-26 18:56:33,-17.8,-63.1667,89.65,58,75,26.46
266,Careva Cuprija,BA,2022-04-26 18:56:33,44.2658,18.4292,62.11,88,79,1.72
267,Rovnoye,RU,2022-04-26 18:56:33,50.7765,46.0509,59.99,67,89,8.93
268,Urbano Santos,BR,2022-04-26 18:56:34,-3.2078,-43.4036,87.75,60,52,5.23
269,Charters Towers,AU,2022-04-26 18:56:34,-20.1,146.2667,66.52,93,0,5.06
270,Sechelt,CA,2022-04-26 18:52:04,49.4664,-123.7694,52.32,74,100,7.31
271,Sangar,RU,2022-04-26 18:56:00,63.9242,127.4739,0.32,98,37,2.19
272,Saint Simons,US,2022-04-26 18:55:38,31.1352,-81.3901,86.05,42,75,10.36
273,Kurilsk,RU,2022-04-26 18:56:35,45.2333,147.8833,43.05,97,100,15.61
274,Concarneau,FR,2022-04-26 18:56:35,47.875,-3.9225,61.09,75,95,8.08
275,Puerto Escondido,MX,2022-04-26 18:57:35,15.85,-97.0667,87.8,58,11,10.2
276,Vermillion,US,2022-04-26 18:57:36,42.7794,-96.9292,57.7,25,0,8.03
277,Umm Kaddadah,SD,2022-04-26 18:57:36,13.6017,26.6876,88.34,17,100,9.35
278,Visby,SE,2022-04-26 18:53:00,57.6409,18.296,40.82,65,0,9.22
279,Moree,AU,2022-04-26 18:57:37,-29.4667,149.85,62.62,67,100,8.05
280,Rivadavia,AR,2022-04-26 18:57:37,-33.1905,-68.4608,87.1,5,0,38.43
281,Puerto El Triunfo,SV,2022-04-26 18:57:37,13.2833,-88.55,88.18,57,96,11.1
282,Sarkand,KZ,2022-04-26 18:57:38,45.41,79.9186,47.71,42,61,3.24
